class,label
http://dbpedia.org/ontology/Airline,airline
http://dbpedia.org/ontology/Bank,bank
http://dbpedia.org/ontology/Brewery,brewery
http://dbpedia.org/ontology/BusCompany,bus company
http://dbpedia.org/ontology/Caterer,Caterer
http://dbpedia.org/ontology/LawFirm,law firm
http://dbpedia.org/ontology/RecordLabel,record label
http://dbpedia.org/ontology/Winery,winery
http://dbpedia.org/ontology/Publisher,publisher
http://dbpedia.org/ontology/Company,company
