label
Aa (architect)
"Abel, King of Denmark"
Abel Ferreira
Abel GÃ_mez Moreno
Abel Miglietti
Achille Casanova
Adolf Holzhaus
Adonis (musician)
AgustÃ_n de Iturbide y Green
Ainslie Roberts
Akhenaton (rapper)
Alaina Johnson
Alastair Martin
"Albert, 12th Prince of Thurn and Taxis"
"Albert, 8th Prince of Thurn and Taxis"
"Albert, Duke of Schleswig-Holstein"
"Albert, King of Sweden"
"Albert, Prince of Schwarzburg-Rudolstadt"
"Albert Casimir, Duke of Teschen"
"Albert Hall (footballer, born 1918)"
Albert N. Whiting
"Albert VII, Archduke of Austria"
Albert of Saxony
Anders FranzÃ©n
Andy Collins (artist)
Angeli (cartoonist)
Annie Lee Moss
Anthony da Silva
"Antonio Farnese, Duke of Parma"
Antonio Thomas (wrestler)
Antonius Ariantho
AntÃ´nio Wilson Vieira HonÃ_rio
AntÃ´nio de Moura Carvalho
Archduchess Maria Magdalena of Austria (1689â€“1743)
Ariadne (empress)
Art Smith (chef)
Arthur P. Jacobs
Arthur Roberts (physicist)
Arthur W. Murray
Aspekt
Asser
Atlantis (wrestler)
Augustine Ahinful
Augustine of Canterbury
Aziz (artist)
B.G. (rapper)
Beck
Benjamin Smoke
Bernard of Italy
Bernard of Kilwinning
Bernard of Saxe-Weimar
Bernardo DomÃ_nguez
Bernardo Fernandes da Silva
Bernhard Jensen
"Bernhart, Prince of Sayn-Wittgenstein-Hohenstein"
Bert Bakker
Bertin
Best (Portuguese footballer)
Beth Phoenix
Bill Leyden
Billy Boy (wrestler)
Bink (record producer)
Blake Richards
Blake Williams
Blake Williams (basketball)
Boom (entertainer)
Boss (rapper)
Buff Bagwell
Canaletto
CapitÃ£o (footballer)
Carey Wilson (writer)
Catherine King (radio broadcaster)
"Christian, Duke of Saxe-Eisenberg"
"Christian, Prince-Elect of Denmark"
Christian Cage
Christian CorrÃªa Dionisio
Christian FernÃ¡ndez Salas
"Christian I, Elector of Saxony"
Christian IV of Denmark
Christian I of Denmark
Christian Oliver
Christian VIII of Denmark
Christian VII of Denmark
Christian VI of Denmark
Christian V of Denmark
"Christina, Queen of Sweden"
Cicero
Clarence Mackay
Cliff Norton
Colin George
Connie Mulder
Constantina (empress)
Corneille (singer)
Cornelis Pronk
Corona (footballer)
Crowbar (wrestler)
Cyril Mann
DJ Ajax
Dale Murray (musician)
Damianus
Daniele da Volterra
Dante (footballer)
Dante Alighieri
David Abraham Cheulkar
David Charles (Australian politician)
David Charles (physician)
David Evans (RAAF officer)
David FranÃ§a Oliveira e Silva
David Pereira da Costa
Davy (Hampshire cricketer)
Dawson (actor)
Dean (rapper)
Dean Martin
"Dean Martin (footballer, born 1957)"
Dean Martin (politician)
Diego MazquiarÃ¡n
Don Callis
Donatello
Double (singer)
Edgar Booth
Edna Mae Harris
Edward Peck Curtis
Egotistico Fantastico
Eldon Maquemba
Elektra (wrestling)
Elias Alves da Silva
Elias Mendes Trindade
Elias Ribeiro de Oliveira
Eliezer Spiegel
Elizabeth Miklosi
Emii
Emily Stevens (actress)
"Ercole, Lord of Monaco"
Eric Guerin
"Ernest, Count of Lippe-Biesterfeld"
"Ernst, Prince of Saxe-Meiningen"
Fabricio Agosto RamÃ_rez
"Ferdinand, Duke of Breisgau"
"Ferdinand I, Holy Roman Emperor"
"Ferdinand II, Archduke of Austria"
"Ferdinand II, Holy Roman Emperor"
"Ferdinand III, Grand Duke of Tuscany"
"Ferdinand III, Holy Roman Emperor"
Ferdinand II of LeÃ_n
Ferdinand II of Portugal
Ferdinand II of the Two Sicilies
Ferdinand I of Aragon
Ferdinand I of Naples
Ferdinand I of Portugal
Ferdinand I of the Two Sicilies
Ferdinand VII of Spain
"Ferdinando II de' Medici, Grand Duke of Tuscany"
Fernando Tobias de Carvalho
"Francis, Duke of Anjou"
"Francis, Duke of Saxe-Coburg-Saalfeld"
"Francis, Duke of Teck"
Francis (footballer)
"Francis Cook, 1st Viscount of Monserrate"
Francis GarcÃ_a
Francis JosÃ© da Silva
Francis Richards (diplomat)
Francisco Delgado Melo
"Frank M. Smith, Jr."
Frederick Muller
Frederik de Wit
"Friedrich, Prince of Waldeck and Pyrmont"
"Georg, Crown Prince of Saxony"
"Georg, Prince of Saxe-Meiningen"
George Allen (American football coach)
George Allen (Australian politician)
George Allen (U.S. politician)
George Allen (footballer)
George Allen (ice hockey)
George W. Taylor (professor)
Georges Rouget
Gerald Brom
Gerhard (cartoonist)
GermÃ¡n Figueroa
Gilberto da Silva Melo
Giordano Bruno
Godefroy de La Tour d'Auvergne
Gordon Fraser (actor)
Gordon Fraser (footballer)
Grant Williams
Gustavo Breda Rodrigues
Hans Christian
Harris (rapper)
Heath (musician)
Helena (empress)
Hendrich Miller Meireles Bernardo
Henri Christophe
Henrique da Silva Coutinho
Henry Ellis Harris
"Henry I, Margrave of the Saxon Ostmark"
"Henry II, Duke of Lorraine"
"Henry II, Holy Roman Emperor"
"Henry II, Landgrave of Hesse"
"Henry II, Margrave of Meissen"
Henry III of France
Henry II of England
Henry II of France
Henry I of France
Henry VII of England
Henry the Fowler
Henry the Lion
"Hercule, Duke of Montbazon"
Hercules (chef)
Hercules (wrestler)
Herman (Swaiko)
Herman (bishop)
"Hermann, Prince of Hohenlohe-Langenburg"
"Hermann, Prince of Hohenzollern-Hechingen"
"Hermann, Prince of Wied"
Hermann Bauer
Hermann Huppen
Hermes Neves Soares
Hermes Rodrigues JÃºnior
Hokusai
Howard E. Koch
Hubert de Givenchy
"Humphrey, Duke of Gloucester"
Ian Allan (politician)
Irene Doukaina Laskarina
Irene Komnene Doukaina
Irene of Athens
Irene of Larissa
"Isabella, Duchess of Lorraine"
